Batsman Name,Batting Pos,selection1_batsmen_Out_NotOut,selection1_batsmen_Runs,selection1_batsmen_Balls,selection1_batsmen_Fours,selection1_batsmen_Sixes,selection1_batsmen_Strike_Rate,selection1_batsmen_Team,selection1_batsmen_Match_No,Ground,Date
M Shahrukh Khan,7,not out,2,3,0,0,66.66,Punjab Kings,41st Match (D/N), Chennai, April 30
Sikandar Raza,8,not out,13,7,1,0,185.71,Punjab Kings,41st Match (D/N), Chennai, April 30
Yashasvi Jaiswal,1,c & b Arshad Khan,124,62,16,8,200,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Jos Buttler,2,c sub (Ramandeep Singh) b Chawla,18,19,2,1,94.73,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Sanju Samson (c)†,3,c Tilak Varma b Arshad Khan,14,10,1,1,140,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Devdutt Padikkal,4,b Chawla,2,4,0,0,50,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Jason Holder,5,c David b Archer,11,9,0,1,122.22,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Shimron Hetmyer,6,c Yadav b Arshad Khan,8,9,0,1,88.88,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Dhruv Jurel,7,c Tilak Varma b Meredith,2,3,0,0,66.66,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Ravichandran Ashwin,8,not out,8,5,1,0,160,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Trent Boult,9,not out,0,0,0,0,-,Rajasthan Royals,42nd Match (N), Wankhede, April 30
Rohit Sharma (c),1,b Sandeep Sharma,3,5,0,0,60,Mumbai Indians,42nd Match (N), Wankhede, April 30
Ishan Kishan †,2,c Boult b Ashwin,28,23,4,0,121.73,Mumbai Indians,42nd Match (N), Wankhede, April 30
Cameron Green,3,c Boult b Ashwin,44,26,4,2,169.23,Mumbai Indians,42nd Match (N), Wankhede, April 30
Suryakumar Yadav,4,c Sandeep Sharma b Boult,55,29,8,2,189.65,Mumbai Indians,42nd Match (N), Wankhede, April 30
Tilak Varma,5,not out,29,21,3,1,138.09,Mumbai Indians,42nd Match (N), Wankhede, April 30
Tim David,6,not out,45,14,2,5,321.42,Mumbai Indians,42nd Match (N), Wankhede, April 30
Virat Kohli,1,st †Pooran b Ravi Bishnoi,31,30,3,0,103.33,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Faf du Plessis (c),2,c Pandya b Mishra,44,40,1,1,110,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Anuj Rawat,3,c Mayers b Gowtham,9,11,0,0,81.81,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Glenn Maxwell,4,lbw b Ravi Bishnoi,4,5,0,0,80,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Suyash Prabhudessai,5,c Gowtham b Mishra,6,7,0,0,85.71,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Dinesh Karthik †,6,run out (Yash Thakur),16,11,1,1,145.45,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Mahipal Lomror,7,lbw b Naveen-ul-Haq,3,4,0,0,75,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Wanindu Hasaranga,8,not out,8,7,1,0,114.28,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Karn Sharma,9,c Gowtham b Naveen-ul-Haq,2,2,0,0,100,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Mohammed Siraj,10,c †Pooran b Naveen-ul-Haq,0,1,0,0,0,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Josh Hazlewood,11,not out,1,2,0,0,50,Royal Challengers Bangalore,43rd Match (N), Lucknow, May 01
Kyle Mayers,1,c Anuj Rawat b Mohammed Siraj,0,2,0,0,0,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Ayush Badoni,2,c Kohli b Hazlewood,4,11,0,0,36.36,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Krunal Pandya,3,c Kohli b Maxwell,14,11,3,0,127.27,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Deepak Hooda,4,st †Karthik b de Silva,1,2,0,0,50,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Marcus Stoinis,5,c Prabhudessai b Sharma,13,19,0,1,68.42,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Nicholas Pooran †,6,c Lomror b Sharma,9,7,0,1,128.57,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Krishnappa Gowtham,7,run out (sub [R Sonu Yadav]/†Karthik),23,13,1,2,176.92,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Ravi Bishnoi,8,run out (Patel/†Karthik),5,10,0,0,50,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Amit Mishra,9,c †Karthik b Patel,19,30,2,0,63.33,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Naveen-ul-Haq,10,c †Karthik b Hazlewood,13,13,2,0,100,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
KL Rahul (c),11,not out,0,3,0,0,0,Lucknow Super Giants,43rd Match (N), Lucknow, May 01
Phil Salt †,1,c Miller b Mohammed Shami,0,1,0,0,0,Delhi Capitals,44th Match (N), Ahmedabad, May 02
David Warner (c),2,run out (Rashid Khan),2,2,0,0,100,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Priyam Garg,3,c †Saha b Mohammed Shami,10,14,0,0,71.42,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Rilee Rossouw,4,c †Saha b Mohammed Shami,8,6,2,0,133.33,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Manish Pandey,5,c †Saha b Mohammed Shami,1,4,0,0,25,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Axar Patel,6,c Rashid Khan b Sharma,27,30,2,1,90,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Aman Hakim Khan,7,c Manohar b Rashid Khan,51,44,3,3,115.9,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Ripal Patel,8,c Pandya b Sharma,23,13,2,1,176.92,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Anrich Nortje,9,not out,3,6,0,0,50,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Kuldeep Yadav,10,not out,0,1,0,0,0,Delhi Capitals,44th Match (N), Ahmedabad, May 02
Wriddhiman Saha †,1,c †Salt b Ahmed,0,6,0,0,0,Gujarat Titans,44th Match (N), Ahmedabad, May 02
Shubman Gill,2,c Pandey b Nortje,6,7,1,0,85.71,Gujarat Titans,44th Match (N), Ahmedabad, May 02
Hardik Pandya (c),3,not out,59,53,7,0,111.32,Gujarat Titans,44th Match (N), Ahmedabad, May 02
Vijay Shankar,4,b Sharma,6,9,1,0,66.66,Gujarat Titans,44th Match (N), Ahmedabad, May 02
David Miller,5,b Kuldeep Yadav,0,3,0,0,0,Gujarat Titans,44th Match (N), Ahmedabad, May 02
Abhinav Manohar,6,c Aman Hakim Khan b Ahmed,26,33,0,1,78.78,Gujarat Titans,44th Match (N), Ahmedabad, May 02
Rahul Tewatia,7,c Rossouw b Sharma,20,7,0,3,285.71,Gujarat Titans,44th Match (N), Ahmedabad, May 02
Rashid Khan,8,not out,3,2,0,0,150,Gujarat Titans,44th Match (N), Ahmedabad, May 02
Manan Vohra,1,b Theekshana,10,11,1,0,90.9,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
Kyle Mayers,2,c Gaikwad b Ali,14,17,2,0,82.35,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
Karan Sharma,3,c & b Ali,9,16,0,0,56.25,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
Krunal Pandya (c),4,c Rahane b Theekshana,0,1,0,0,0,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
Marcus Stoinis,5,b Jadeja,6,4,1,0,150,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
Nicholas Pooran †,6,c Ali b Pathirana,20,31,0,0,64.51,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
Ayush Badoni,7,not out,59,33,2,4,178.78,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
Krishnappa Gowtham,8,c Rahane b Pathirana,1,3,0,0,33.33,Lucknow Super Giants,45th Match (D/N), Lucknow, May 03
"Ambati Rayudu,",1,,Chennai Super Kings Team:,,,,,,,,
"Ruturaj Gaikwad,",2,,Chennai Super Kings Team:,,,,,,,,
"Devon Conway,",3,,Chennai Super Kings Team:,,,,,,,,
"Ajinkya Rahane,",4,,Chennai Super Kings Team:,,,,,,,,
"Moeen Ali,",5,,Chennai Super Kings Team:,,,,,,,,
"Shivam Dube,",6,,Chennai Super Kings Team:,,,,,,,,
"Ravindra Jadeja,",7,,Chennai Super Kings Team:,,,,,,,,
"MS Dhoni (c)†,",8,,Chennai Super Kings Team:,,,,,,,,
"Matheesha Pathirana,",9,,Chennai Super Kings Team:,,,,,,,,
"Tushar Deshpande,",10,,Chennai Super Kings Team:,,,,,,,,
"Maheesh Theekshana,",11,,Chennai Super Kings Team:,,,,,,,,
Deepak Chahar,12,,Chennai Super Kings Team:,,,,,,,,
Prabhsimran Singh,1,c †Ishan Kishan b Arshad Khan,9,7,1,0,128.57,Punjab Kings,46th Match (N), Mohali, May 03
Shikhar Dhawan (c),2,st †Ishan Kishan b Chawla,30,20,5,0,150,Punjab Kings,46th Match (N), Mohali, May 03
Matthew Short,3,b Chawla,27,26,2,1,103.84,Punjab Kings,46th Match (N), Mohali, May 03
Liam Livingstone,4,not out,82,42,7,4,195.23,Punjab Kings,46th Match (N), Mohali, May 03
Jitesh Sharma †,5,not out,49,27,5,2,181.48,Punjab Kings,46th Match (N), Mohali, May 03
Rohit Sharma (c),1,c Short b R Dhawan,0,3,0,0,0,Mumbai Indians,46th Match (N), Mohali, May 03
Ishan Kishan †,2,c R Dhawan b Arshdeep Singh,75,41,7,4,182.92,Mumbai Indians,46th Match (N), Mohali, May 03
Cameron Green,3,c Chahar b Ellis,23,18,4,0,127.77,Mumbai Indians,46th Match (N), Mohali, May 03
Suryakumar Yadav,4,c Arshdeep Singh b Ellis,66,31,8,2,212.9,Mumbai Indians,46th Match (N), Mohali, May 03
Tim David,5,not out,19,10,3,0,190,Mumbai Indians,46th Match (N), Mohali, May 03
Tilak Varma,6,not out,26,10,1,3,260,Mumbai Indians,46th Match (N), Mohali, May 03
Jason Roy,1,c Agarwal b Kartik Tyagi,20,19,4,0,105.26,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Rahmanullah Gurbaz †,2,c Brook b Jansen,0,1,0,0,0,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Venkatesh Iyer,3,c †Klaasen b Jansen,7,4,1,0,175,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Nitish Rana (c),4,c & b Markram,42,31,3,3,135.48,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Rinku Singh,5,c Abdul Samad b Natarajan,46,35,4,1,131.42,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Andre Russell,6,c Natarajan b Markande,24,15,1,2,160,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Sunil Narine,7,c Agarwal b Kumar,1,2,0,0,50,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Shardul Thakur,8,c Abdul Samad b Natarajan,8,6,1,0,133.33,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Anukul Roy,9,not out,13,7,2,0,185.71,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Harshit Rana,10,run out (†Klaasen/Natarajan),0,1,0,0,0,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Vaibhav Arora,11,not out,2,1,0,0,200,Kolkata Knight Riders,47th Match (N), Hyderabad, May 04
Abhishek Sharma,1,c Russell b Thakur,9,10,1,0,90,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Mayank Agarwal,2,c †Rahmanullah Gurbaz b Harshit Rana,18,11,2,1,163.63,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Rahul Tripathi,3,c Arora b Russell,20,9,3,1,222.22,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Aiden Markram (c),4,c Singh b Arora,41,40,4,0,102.5,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Harry Brook,5,lbw b AS Roy,0,4,0,0,0,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Heinrich Klaasen †,6,c Russell b Thakur,36,20,1,3,180,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Abdul Samad,7,c AS Roy b Varun,21,18,3,0,116.66,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Marco Jansen,8,c †Rahmanullah Gurbaz b Arora,1,4,0,0,25,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Bhuvneshwar Kumar,9,not out,5,5,1,0,100,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Mayank Markande,10,not out,1,2,0,0,50,Sunrisers Hyderabad,47th Match (N), Hyderabad, May 04
Yashasvi Jaiswal,1,run out (Sharma/Rashid Khan),14,11,1,1,127.27,Rajasthan Royals,48th Match (N), Jaipur, May 05
Jos Buttler,2,c Sharma b Pandya,8,6,2,0,133.33,Rajasthan Royals,48th Match (N), Jaipur, May 05
Sanju Samson (c)†,3,c Pandya b Little,30,20,3,1,150,Rajasthan Royals,48th Match (N), Jaipur, May 05
Devdutt Padikkal,4,b Noor Ahmad,12,12,1,0,100,Rajasthan Royals,48th Match (N), Jaipur, May 05
Ravichandran Ashwin,5,b Rashid Khan,2,6,0,0,33.33,Rajasthan Royals,48th Match (N), Jaipur, May 05
Riyan Parag,6,lbw b Rashid Khan,4,6,0,0,66.66,Rajasthan Royals,48th Match (N), Jaipur, May 05
Shimron Hetmyer,7,lbw b Rashid Khan,7,13,0,0,53.84,Rajasthan Royals,48th Match (N), Jaipur, May 05
Dhruv Jurel,8,lbw b Noor Ahmad,9,8,1,0,112.5,Rajasthan Royals,48th Match (N), Jaipur, May 05
Trent Boult,9,b Mohammed Shami,15,11,1,1,136.36,Rajasthan Royals,48th Match (N), Jaipur, May 05
Adam Zampa,10,run out (Manohar),7,9,0,0,77.77,Rajasthan Royals,48th Match (N), Jaipur, May 05
Sandeep Sharma,11,not out,2,5,0,0,40,Rajasthan Royals,48th Match (N), Jaipur, May 05
Wriddhiman Saha †,1,not out,41,34,5,0,120.58,Gujarat Titans,48th Match (N), Jaipur, May 05
Shubman Gill,2,st †Samson b Chahal,36,35,6,0,102.85,Gujarat Titans,48th Match (N), Jaipur, May 05
Hardik Pandya (c),3,not out,39,15,3,3,260,Gujarat Titans,48th Match (N), Jaipur, May 05
Cameron Green,1,b Deshpande,6,4,1,0,150,Mumbai Indians,49th Match (D/N), Chennai, May 06
Ishan Kishan †,2,c Theekshana b Chahar,7,9,1,0,77.77,Mumbai Indians,49th Match (D/N), Chennai, May 06
Rohit Sharma (c),3,c Jadeja b Chahar,0,3,0,0,0,Mumbai Indians,49th Match (D/N), Chennai, May 06
Nehal Wadhera,4,b Pathirana,64,51,8,1,125.49,Mumbai Indians,49th Match (D/N), Chennai, May 06
Suryakumar Yadav,5,b Jadeja,26,22,3,0,118.18,Mumbai Indians,49th Match (D/N), Chennai, May 06
Tristan Stubbs,6,c Jadeja b Pathirana,20,21,2,0,95.23,Mumbai Indians,49th Match (D/N), Chennai, May 06
Tim David,7,c Gaikwad b Deshpande,2,4,0,0,50,Mumbai Indians,49th Match (D/N), Chennai, May 06
Arshad Khan,8,c Gaikwad b Pathirana,1,2,0,0,50,Mumbai Indians,49th Match (D/N), Chennai, May 06
Jofra Archer,9,not out,3,2,0,0,150,Mumbai Indians,49th Match (D/N), Chennai, May 06
Piyush Chawla,10,not out,2,2,0,0,100,Mumbai Indians,49th Match (D/N), Chennai, May 06
Ruturaj Gaikwad,1,c †Ishan Kishan b Chawla,30,16,4,2,187.5,Chennai Super Kings,49th Match (D/N), Chennai, May 06
Devon Conway,2,lbw b Madhwal,44,42,4,0,104.76,Chennai Super Kings,49th Match (D/N), Chennai, May 06
Ajinkya Rahane,3,lbw b Chawla,21,17,1,1,123.52,Chennai Super Kings,49th Match (D/N), Chennai, May 06
Ambati Rayudu,4,c Goyal b Stubbs,12,11,0,1,109.09,Chennai Super Kings,49th Match (D/N), Chennai, May 06
Shivam Dube,5,not out,26,18,0,3,144.44,Chennai Super Kings,49th Match (D/N), Chennai, May 06
MS Dhoni (c)†,6,not out,2,3,0,0,66.66,Chennai Super Kings,49th Match (D/N), Chennai, May 06
Virat Kohli,1,c Ahmed b Mukesh Kumar,55,46,5,0,119.56,Royal Challengers Bangalore,50th Match (N), Delhi, May 06
Faf du Plessis (c),2,c AR Patel b Marsh,45,32,5,1,140.62,Royal Challengers Bangalore,50th Match (N), Delhi, May 06
Glenn Maxwell,3,c †Salt b Marsh,0,1,0,0,0,Royal Challengers Bangalore,50th Match (N), Delhi, May 06
Mahipal Lomror,4,not out,54,29,6,3,186.2,Royal Challengers Bangalore,50th Match (N), Delhi, May 06
Dinesh Karthik †,5,c Warner b Ahmed,11,9,0,1,122.22,Royal Challengers Bangalore,50th Match (N), Delhi, May 06
Anuj Rawat,6,not out,8,3,0,1,266.66,Royal Challengers Bangalore,50th Match (N), Delhi, May 06
David Warner (c),1,c du Plessis b Hazlewood,22,14,3,1,157.14,Delhi Capitals,50th Match (N), Delhi, May 06
Phil Salt †,2,b Sharma,87,45,8,6,193.33,Delhi Capitals,50th Match (N), Delhi, May 06
Mitchell Marsh,3,c Lomror b Patel,26,17,3,1,152.94,Delhi Capitals,50th Match (N), Delhi, May 06
Rilee Rossouw,4,not out,35,22,1,3,159.09,Delhi Capitals,50th Match (N), Delhi, May 06
Axar Patel,5,not out,8,3,0,1,266.66,Delhi Capitals,50th Match (N), Delhi, May 06
Wriddhiman Saha †,1,c sub (PN Mankad) b Avesh Khan,81,43,10,4,188.37,Gujarat Titans,51st Match (D/N), Ahmedabad, May 07
Shubman Gill,2,not out,94,51,2,7,184.31,Gujarat Titans,51st Match (D/N), Ahmedabad, May 07
Hardik Pandya (c),3,c Pandya b Mohsin Khan,25,15,1,2,166.66,Gujarat Titans,51st Match (D/N), Ahmedabad, May 07
David Miller,4,not out,21,12,2,1,175,Gujarat Titans,51st Match (D/N), Ahmedabad, May 07
Kyle Mayers,1,c Rashid Khan b Sharma,48,32,7,2,150,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Quinton de Kock †,2,b Rashid Khan,70,41,7,3,170.73,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Deepak Hooda,3,c Tewatia b Mohammed Shami,11,11,0,0,100,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Marcus Stoinis,4,c Mohammed Shami b Sharma,4,9,0,0,44.44,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Nicholas Pooran,5,c Mohammed Shami b Noor Ahmad,3,6,0,0,50,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Ayush Badoni,6,c Noor Ahmad b Sharma,21,11,1,2,190.9,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Swapnil Singh,7,not out,2,4,0,0,50,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Krunal Pandya (c),8,c Miller b Sharma,0,1,0,0,0,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Ravi Bishnoi,9,not out,4,5,1,0,80,Lucknow Super Giants,51st Match (D/N), Ahmedabad, May 07
Yashasvi Jaiswal,1,c Natarajan b Jansen,35,18,5,2,194.44,Rajasthan Royals,52nd Match (N), Jaipur, May 07
Jos Buttler,2,lbw b Kumar,95,59,10,4,161.01,Rajasthan Royals,52nd Match (N), Jaipur, May 07
Sanju Samson (c)†,3,not out,66,38,4,5,173.68,Rajasthan Royals,52nd Match (N), Jaipur, May 07
Shimron Hetmyer,4,not out,7,5,0,0,140,Rajasthan Royals,52nd Match (N), Jaipur, May 07
Anmolpreet Singh,1,c Hetmyer b Chahal,33,25,4,1,132,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Abhishek Sharma,2,c Chahal b R Ashwin,55,34,5,2,161.76,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Rahul Tripathi,3,c Jaiswal b Chahal,47,29,2,3,162.06,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Heinrich Klaasen †,4,c Buttler b Chahal,26,12,2,2,216.66,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Aiden Markram (c),5,lbw b Chahal,6,5,1,0,120,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Glenn Phillips,6,c Hetmyer b Yadav,25,7,1,3,357.14,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Abdul Samad,7,not out,17,7,0,2,242.85,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Marco Jansen,8,not out,3,2,0,0,150,Sunrisers Hyderabad,52nd Match (N), Jaipur, May 07
Prabhsimran Singh,1,c †Rahmanullah Gurbaz b Harshit Rana,12,8,3,0,150,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Shikhar Dhawan (c),2,c Arora b Rana,57,47,9,1,121.27,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Bhanuka Rajapaksa,3,c †Rahmanullah Gurbaz b Harshit Rana,0,3,0,0,0,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Liam Livingstone,4,lbw b Varun,15,9,3,0,166.66,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Jitesh Sharma †,5,c †Rahmanullah Gurbaz b Varun,21,18,0,2,116.66,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Sam Curran,6,c †Rahmanullah Gurbaz b Suyash Sharma,4,9,0,0,44.44,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Rishi Dhawan,7,b Varun,19,11,1,1,172.72,Punjab Kings,53rd Match (N), Eden Gardens, May 08
M Shahrukh Khan,8,not out,21,8,3,1,262.5,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Harpreet Brar,9,not out,17,9,2,1,188.88,Punjab Kings,53rd Match (N), Eden Gardens, May 08
Jason Roy,1,c Shahrukh Khan b Harpreet Brar,38,24,8,0,158.33,Kolkata Knight Riders,53rd Match (N), Eden Gardens, May 08
Rahmanullah Gurbaz †,2,lbw b Ellis,15,12,1,1,125,Kolkata Knight Riders,53rd Match (N), Eden Gardens, May 08
Nitish Rana (c),3,c Livingstone b Chahar,51,38,6,1,134.21,Kolkata Knight Riders,53rd Match (N), Eden Gardens, May 08
Venkatesh Iyer,4,c Livingstone b Chahar,11,13,0,0,84.61,Kolkata Knight Riders,53rd Match (N), Eden Gardens, May 08
Andre Russell,5,run out (†Sharma/Arshdeep Singh),42,23,3,3,182.6,Kolkata Knight Riders,53rd Match (N), Eden Gardens, May 08
Rinku Singh,6,not out,21,10,2,1,210,Kolkata Knight Riders,53rd Match (N), Eden Gardens, May 08
Shardul Thakur,7,not out,0,0,0,0,-,Kolkata Knight Riders,53rd Match (N), Eden Gardens, May 08
Virat Kohli,1,c †Ishan Kishan b Behrendorff,1,4,0,0,25,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Faf du Plessis (c),2,c sub (Vishnu Vinod) b Green,65,41,5,3,158.53,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Anuj Rawat,3,c Green b Behrendorff,6,4,1,0,150,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Glenn Maxwell,4,c Wadhera b Behrendorff,68,33,8,4,206.06,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Mahipal Lomror,5,b Kartikeya,1,3,0,0,33.33,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Dinesh Karthik †,6,c Wadhera b Jordan,30,18,4,1,166.66,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Kedar Jadhav,7,not out,12,10,1,0,120,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Wanindu Hasaranga,8,not out,12,8,2,0,150,Royal Challengers Bangalore,54th Match (N), Wankhede, May 09
Ishan Kishan †,1,c †Anuj Rawat b de Silva,42,21,4,4,200,Mumbai Indians,54th Match (N), Wankhede, May 09
Rohit Sharma (c),2,lbw b de Silva,7,8,1,0,87.5,Mumbai Indians,54th Match (N), Wankhede, May 09
Suryakumar Yadav,3,c Jadhav b Vyshak,83,35,7,6,237.14,Mumbai Indians,54th Match (N), Wankhede, May 09
Nehal Wadhera,4,not out,52,34,4,3,152.94,Mumbai Indians,54th Match (N), Wankhede, May 09
Tim David,5,c Maxwell b Vyshak,0,1,0,0,0,Mumbai Indians,54th Match (N), Wankhede, May 09
Cameron Green,6,not out,2,2,0,0,100,Mumbai Indians,54th Match (N), Wankhede, May 09
Ruturaj Gaikwad,1,c Aman Hakim Khan b AR Patel,24,18,4,0,133.33,Chennai Super Kings,55th Match (N), Chennai, May 10
Devon Conway,2,lbw b AR Patel,10,13,1,0,76.92,Chennai Super Kings,55th Match (N), Chennai, May 10
Ajinkya Rahane,3,c & b Lalit Yadav,21,20,2,0,105,Chennai Super Kings,55th Match (N), Chennai, May 10
Moeen Ali,4,c Marsh b Kuldeep Yadav,7,12,0,0,58.33,Chennai Super Kings,55th Match (N), Chennai, May 10
Shivam Dube,5,c Warner b Marsh,25,12,0,3,208.33,Chennai Super Kings,55th Match (N), Chennai, May 10
Ambati Rayudu,6,c RV Patel b Ahmed,23,17,1,1,135.29,Chennai Super Kings,55th Match (N), Chennai, May 10
Ravindra Jadeja,7,c AR Patel b Marsh,21,16,1,1,131.25,Chennai Super Kings,55th Match (N), Chennai, May 10
MS Dhoni (c)†,8,c Warner b Marsh,20,9,1,2,222.22,Chennai Super Kings,55th Match (N), Chennai, May 10
Deepak Chahar,9,not out,1,2,0,0,50,Chennai Super Kings,55th Match (N), Chennai, May 10
Tushar Deshpande,10,not out,0,1,0,0,0,Chennai Super Kings,55th Match (N), Chennai, May 10
David Warner (c),1,c Rahane b Chahar,0,2,0,0,0,Delhi Capitals,55th Match (N), Chennai, May 10
Phil Salt †,2,c Rayudu b Chahar,17,11,1,2,154.54,Delhi Capitals,55th Match (N), Chennai, May 10
Mitchell Marsh,3,run out (Rahane),5,4,1,0,125,Delhi Capitals,55th Match (N), Chennai, May 10
Manish Pandey,4,lbw b Pathirana,27,29,1,2,93.1,Delhi Capitals,55th Match (N), Chennai, May 10
Rilee Rossouw,5,c Pathirana b Jadeja,35,37,2,1,94.59,Delhi Capitals,55th Match (N), Chennai, May 10
Ripal Patel,6,run out (Ali),10,16,0,0,62.5,Delhi Capitals,55th Match (N), Chennai, May 10
Axar Patel,7,c Rahane b Pathirana,21,12,2,1,175,Delhi Capitals,55th Match (N), Chennai, May 10
Aman Hakim Khan,8,not out,2,3,0,0,66.66,Delhi Capitals,55th Match (N), Chennai, May 10
Lalit Yadav,9,b Pathirana,12,5,3,0,240,Delhi Capitals,55th Match (N), Chennai, May 10
Kuldeep Yadav,10,not out,0,1,0,0,0,Delhi Capitals,55th Match (N), Chennai, May 10
Jason Roy,1,c Hetmyer b Boult,10,8,2,0,125,Kolkata Knight Riders,56th Match (N), Eden Gardens, May 11
Rahmanullah Gurbaz †,2,c Sandeep Sharma b Boult,18,12,1,2,150,Kolkata Knight Riders,56th Match (N), Eden Gardens, May 11
Venkatesh Iyer,3,c Boult b Chahal,57,42,2,4,135.71,Kolkata Knight Riders,56th Match (N), Eden Gardens, May 11
Nitish Rana (c),4,c Hetmyer b Chahal,22,17,2,0,129.41,Kolkata Knight Riders,56th Match (N), Eden Gardens, May 11
Andre Russell,5,c Ashwin b Asif,10,10,0,1,100,Kolkata Knight Riders,56th Match (N), Eden Gardens, May 11
